	organism	tem
50	Acidithiobacillus ferrooxidans ATCC 23270	0
51	Acidithiobacillus ferrooxidans ATCC 53993	0
52	Acidobacterium capsulatum ATCC 51196	0
53	Acidothermus cellulolyticus 11B	0
54	Acidovorax avenae subsp. avenae ATCC 19860	0
55	Acidovorax citrulli	0
56	Acidovorax citrulli AAC00-1	0
57	Acidovorax ebreus TPSY	404ERROR
58	Acidovorax sp. JS42	404ERROR
59	Acidovorax sp. KKS102	404ERROR
60	Acidovorax sp. NA2	404ERROR
61	Acidovorax sp. NA3	404ERROR
62	Acidovorax sp. P3	404ERROR
63	Acidovorax sp. P4	404ERROR
64	Acidovorax sp. RAC01	404ERROR
65	Acidovorax sp. T1	404ERROR
66	Aciduliprofundum boonei T469	['77', '70']
67	Aciduliprofundum sp. MAR08-339	404ERROR
68	Acinetobacter baumannii	0
69	Acinetobacter baumannii 1656-2	0
70	Acinetobacter baumannii AB0057	0
71	Acinetobacter baumannii AB307-0294	0
72	Acinetobacter baumannii ACICU	0
73	Acinetobacter baumannii AYE	0
74	Acinetobacter baumannii BJAB07104	0
75	Acinetobacter baumannii BJAB0715	0
76	Acinetobacter baumannii BJAB0868	0
77	Acinetobacter baumannii D1279779	0
78	Acinetobacter baumannii DU202	0
79	Acinetobacter baumannii LAC-4	0
80	Acinetobacter baumannii MDR-TJ	0
81	Acinetobacter baumannii MDR-ZJ06	0
82	Acinetobacter baumannii NCGM 237	0
83	Acinetobacter baumannii TYTH-1	0
84	Acinetobacter baumannii ZW85-1	0
85	Acinetobacter bereziniae	0
86	Acinetobacter calcoaceticus	0
87	Acinetobacter equi	0
88	Acinetobacter haemolyticus	0
89	Acinetobacter indicus	0
90	Acinetobacter johnsonii XBB1	0
91	Acinetobacter junii	0
92	Acinetobacter lactucae	0
93	Acinetobacter larvae	0
94	Acinetobacter nosocomialis	0
95	Acinetobacter oleivorans DR1	404ERROR
96	Acinetobacter pittii	0
97	Acinetobacter pittii PHEA-2	0
98	Acinetobacter radioresistens	0
99	Acinetobacter schindleri	0
100	Acinetobacter soli	0
101	Acinetobacter sp. ACNIH1	404ERROR
102	Acinetobacter sp. ACNIH2	404ERROR
103	Acinetobacter sp. ADP1	404ERROR
104	Acinetobacter sp. LoGeW2-3	404ERROR
105	Acinetobacter sp. NCu2D-2	404ERROR
106	Acinetobacter sp. SWBY1	404ERROR
107	Acinetobacter sp. TGL-Y2	404ERROR
108	Acinetobacter sp. TTH0-4	404ERROR
109	Actinoalloteichus hoggarensis	404ERROR
110	Actinoalloteichus hymeniacidonis	404ERROR
111	Actinoalloteichus sp. ADI127-7	404ERROR
112	Actinoalloteichus sp. AHMU CJ021	404ERROR
113	Actinoalloteichus sp. GBA129-24	404ERROR
114	Actinobacillus equuli subsp. equuli	404ERROR
115	Actinobacillus pleuropneumoniae serovar 1 str. 4074	0
116	Actinobacillus pleuropneumoniae serovar 3 str. JL03	0
117	Actinobacillus pleuropneumoniae serovar 5b str. L20	0
118	Actinobacillus pleuropneumoniae serovar 7 str. AP76	0
119	Actinobacillus pleuropneumoniae serovar 8	0
120	Actinobacillus porcitonsillarum	404ERROR
121	Actinobacillus succinogenes 130Z	0
122	Actinobacillus suis	0
123	Actinobacillus suis ATCC 33415	0
124	Actinobacteria bacterium IMCC19121	404ERROR
125	Actinobacteria bacterium IMCC25003	404ERROR
126	Actinobacteria bacterium IMCC26077	404ERROR
127	Actinobacteria bacterium IMCC26103	404ERROR
128	Actinobacteria bacterium IMCC26256	404ERROR
129	Actinomyces gaoshouyii	404ERROR
130	Actinomyces meyeri	404ERROR
131	Actinomyces oris	404ERROR
132	Actinomyces pacaensis	404ERROR
133	Actinomyces radicidentis	0
134	Actinomyces sp. Chiba101	404ERROR
135	Actinomyces sp. oral taxon 414	404ERROR
136	Actinomyces sp. oral taxon 897	404ERROR
137	Actinomyces sp. VUL4_3	404ERROR
138	Actinomyces sp. Z16	404ERROR
139	Actinoplanes friuliensis DSM 7358	0
140	Actinoplanes missouriensis 431	404ERROR
141	Actinoplanes sp. N902-109	404ERROR
142	Actinoplanes sp. SE50	404ERROR
143	Actinoplanes sp. SE50/110	404ERROR
144	Actinopolyspora erythraea	404ERROR
145	Actinosynnema mirum DSM 43827	404ERROR
146	Actinosynnema pretiosum	404ERROR
147	Actinotignum schaalii	0
148	Actinotignum sp. 313	404ERROR
149	Adlercreutzia equolifaciens DSM 19450	404ERROR
150	Advenella kashmirensis WT001	0
151	Advenella mimigardefordensis DPN7	0
152	Aequorivita sublithincola DSM 14238	0
153	Aeribacillus pallidus	404ERROR
154	Aerococcus christensenii	404ERROR
155	Aerococcus sanguinicola	0
156	Aerococcus urinae	0
157	Aerococcus urinae ACS-120-V-Col10a	0
158	Aerococcus urinaeequi	404ERROR
159	Aerococcus urinaehominis	404ERROR
160	Aerococcus viridans	0
161	Aeromicrobium erythreum	0
162	Aeromicrobium sp. 592	404ERROR
163	Aeromonas aquatica	0
164	Aeromonas caviae	0
165	Aeromonas dhakensis	['37']
166	Aeromonas hydrophila	0
167	Aeromonas hydrophila 4AK4	0
168	Aeromonas hydrophila AL09-71	0
169	Aeromonas hydrophila J-1	0
170	Aeromonas hydrophila ML09-119	0
171	Aeromonas hydrophila NJ-35	0
172	Aeromonas hydrophila pc104A	0
173	Aeromonas hydrophila subsp. hydrophila	0
174	Aeromonas hydrophila subsp. hydrophila ATCC 7966	0
175	Aeromonas hydrophila YL17	0
176	Aeromonas media WS	0
177	Aeromonas rivipollensis	0
178	Aeromonas salmonicida	['25', '25', '37', '25']
179	Aeromonas salmonicida subsp. masoucida	['25', '25', '37', '25']
180	Aeromonas salmonicida subsp. pectinolytica 34mel	['25', '25', '37', '25']
181	Aeromonas salmonicida subsp. salmonicida A449	['25', '25', '37', '25']
182	Aeromonas schubertii	0
183	Aeromonas sp. ASNIH1	404ERROR
184	Aeromonas sp. ASNIH2	404ERROR
185	Aeromonas sp. ASNIH3	404ERROR
186	Aeromonas sp. ASNIH4	404ERROR
187	Aeromonas sp. ASNIH5	404ERROR
188	Aeromonas sp. ASNIH7	404ERROR
189	Aeromonas sp. CA23	404ERROR
190	Aeromonas sp. CU5	404ERROR
191	Aeromonas veronii	0
192	Aeromonas veronii B565	0
193	Agarilytica rhodophyticola	404ERROR
194	Agarivorans gilvus	404ERROR
195	Aggregatibacter actinomycetemcomitans	0
196	Aggregatibacter actinomycetemcomitans D7S-1	0
197	Aggregatibacter actinomycetemcomitans HK1651	0
198	Aggregatibacter aphrophilus	0
199	Aggregatibacter aphrophilus NJ8700	0
200	Agrobacterium fabrum str. C58	404ERROR
201	Agrobacterium radiobacter K84	0
202	Agrobacterium rhizogenes	0
203	Agrobacterium sp. H13-3	404ERROR
204	Agrobacterium sp. RAC06	404ERROR
205	Agrobacterium tumefaciens	0
206	Agrobacterium vitis S4	0
207	Agromyces aureus	404ERROR
208	Agromyces sp. 30A	404ERROR
209	Akkermansia glycaniphila	404ERROR
210	Akkermansia muciniphila	0
211	Akkermansia muciniphila ATCC BAA-835	0
212	Alcaligenes faecalis	['37']
213	Alcanivorax borkumensis SK2	['35']
214	Alcanivorax dieselolei B5	0
215	Alcanivorax pacificus W11-5	0
216	Alcanivorax sp. NBRC 101098	404ERROR
217	Alcanivorax xenomutans	404ERROR
218	Algibacter alginicilyticus	404ERROR
219	Algoriphagus sp. M8-2	404ERROR
220	Alicycliphilus denitrificans BC	404ERROR
221	Alicycliphilus denitrificans K601	404ERROR
222	Alicyclobacillus acidocaldarius subsp. acidocaldarius DSM 446	['65', '70']
223	Alicyclobacillus acidocaldarius subsp. acidocaldarius Tc-4-1	['65', '70']
224	Aliivibrio salmonicida LFI1238	404ERROR
225	Aliivibrio wodanis	404ERROR
226	Alistipes finegoldii DSM 17242	404ERROR
227	Alkalilimnicola ehrlichii MLHE-1	0
228	Alkaliphilus metalliredigens QYMF	404ERROR
229	Alkaliphilus oremlandii OhILAs	404ERROR
230	Alkalitalea saponilacus	404ERROR
231	Alloactinosynnema sp. L-07	404ERROR
232	Allochromatium vinosum DSM 180	404ERROR
233	Allofrancisella guangzhouensis	404ERROR
234	alpha proteobacterium HIMB5	0
235	alpha proteobacterium HIMB59	0
236	Altererythrobacter atlanticus	0
237	Altererythrobacter dongtanensis	0
238	Altererythrobacter epoxidivorans	0
239	Altererythrobacter ishigakiensis	0
240	Altererythrobacter mangrovi	404ERROR
241	Altererythrobacter marensis	0
242	Altererythrobacter namhicola	0
243	Alteromonas addita	0
244	Alteromonas australica	404ERROR
245	Alteromonas macleodii	0
246	Alteromonas macleodii ATCC 27126	0
247	Alteromonas macleodii str. 'Balearic Sea AD45'	0
248	Alteromonas macleodii str. 'Black Sea 11'	0
249	Alteromonas macleodii str. 'English Channel 673'	0
250	Alteromonas mediterranea	404ERROR
251	Alteromonas mediterranea DE	404ERROR
252	Alteromonas mediterranea DE1	404ERROR
253	Alteromonas mediterranea MED64	404ERROR
254	Alteromonas mediterranea U7	404ERROR
255	Alteromonas mediterranea U8	404ERROR
256	Alteromonas mediterranea UM4b	404ERROR
257	Alteromonas mediterranea UM7	404ERROR
258	Alteromonas naphthalenivorans	404ERROR
259	Alteromonas sp. Mac1	404ERROR
260	Alteromonas sp. MB-3u-76	404ERROR
261	Alteromonas sp. RW2A1	404ERROR
262	Alteromonas stellipolaris	0
263	Alteromonas stellipolaris LMG 21856	0
264	Aminobacter aminovorans	0
265	Aminobacterium colombiense DSM 12261	404ERROR
266	Aminobacter sp. MSH1	404ERROR
267	Ammonifex degensii KC4	0
268	Amphibacillus xylanus NBRC 15112	0
269	Amycolatopsis japonica	404ERROR
270	Amycolatopsis mediterranei RB	404ERROR
271	Amycolatopsis mediterranei S699	404ERROR
272	Amycolatopsis mediterranei U32	404ERROR
273	Amycolatopsis methanolica 239	404ERROR
274	Amycolatopsis orientalis	0
275	Amycolatopsis orientalis HCCB10007	0
276	Amycolatopsis sp. AA4	404ERROR
277	Amycolatopsis sp. BJA-103	404ERROR
278	Anabaena cylindrica PCC 7122	404ERROR
279	Anabaena sp. 90	404ERROR
280	Anabaena sp. WA102	404ERROR
281	Anaerococcus mediterraneensis	404ERROR
282	Anaerococcus prevotii DSM 20548	404ERROR
283	Anaerolineaceae bacterium oral taxon 439	404ERROR
284	Anaerolinea thermophila UNI-1	0
285	Anaeromyxobacter dehalogenans 2CP-1	0
286	Anaeromyxobacter dehalogenans 2CP-C	0
287	Anaeromyxobacter sp. Fw109-5	404ERROR
288	Anaeromyxobacter sp. K	404ERROR
289	Anaerostipes hadrus	0
290	Anaerotignum propionicum DSM 1682	404ERROR
291	Anaplasma centrale str. Israel	404ERROR
292	Anaplasma marginale str. Florida	404ERROR
293	Anaplasma marginale str. St. Maries	404ERROR
294	Anaplasma phagocytophilum str. HZ	0
295	Anaplasma phagocytophilum str. HZ2	0
296	Anaplasma phagocytophilum str. JM	0
297	Anaplasma phagocytophilum str. Norway variant2	0
298	Anderseniella sp. Alg231-50	404ERROR
299	Aneurinibacillus soli	404ERROR
300	Aneurinibacillus sp. XH2	404ERROR
301	Anoxybacillus amylolyticus	404ERROR
302	Anoxybacillus flavithermus	404ERROR
303	Anoxybacillus flavithermus WK1	404ERROR
304	Anoxybacillus gonensis	0
305	Anoxybacillus sp. B2M1	404ERROR
306	Anoxybacillus sp. B7M1	404ERROR
307	Antarctobacter heliothermus	0
308	Aquabacterium olei	0
309	Aquaspirillum sp. LM1	404ERROR
310	Aquifex aeolicus VF5	['95']
311	Arachidicoccus sp. BS20	404ERROR
312	Arcanobacterium haemolyticum DSM 20595	0
313	Archaeoglobus fulgidus DSM 4304	['95', '83', '83']
314	Archaeoglobus fulgidus DSM 8774	['95', '83', '83']
315	Archaeoglobus profundus DSM 5631	0
316	Archaeoglobus sulfaticallidus PM70-1	['95', '83', '83']
317	Archaeoglobus veneficus SNP6	['95', '83', '83']
318	Archangium gephyra	404ERROR
319	Arcobacter butzleri	0
320	Arcobacter butzleri 7h1h	0
321	Arcobacter butzleri ED-1	0
322	Arcobacter butzleri RM4018	0
323	Arcobacter nitrofigilis DSM 7299	404ERROR
324	Arcobacter sp. L	404ERROR
325	Arcobacter sp. LPB0137	404ERROR
326	Arenibacter algicola	0
327	Aromatoleum aromaticum EbN1	404ERROR
328	Arsenicicoccus sp. oral taxon 190	404ERROR
329	Arsenophonus symbiont of Lipoptena fortisetosa	404ERROR
330	Arthrobacter alpinus	0
331	Arthrobacter crystallopoietes	0
332	Arthrobacter sp. A3	404ERROR
333	Arthrobacter sp. ATCC 21022	404ERROR
334	Arthrobacter sp. ERGS1:01	404ERROR
335	Arthrobacter sp. FB24	404ERROR
336	Arthrobacter sp. IHBB 11108	404ERROR
337	Arthrobacter sp. LS16	404ERROR
338	Arthrobacter sp. PAMC 25486	404ERROR
339	Arthrobacter sp. PGP41	404ERROR
340	Arthrobacter sp. QXT-31	404ERROR
341	Arthrobacter sp. Rue61a	404ERROR
342	Arthrobacter sp. U41	404ERROR
343	Arthrobacter sp. YC-RL1	404ERROR
344	Arthrobacter sp. YN	404ERROR
345	Arthrobacter sp. ZXY-2	404ERROR
346	Arthrospira sp. TJSD092	404ERROR
347	Asaia bogorensis NBRC 16594	0
348	Aster yellows witches'-broom phytoplasma AYWB	0
349	Asticcacaulis excentricus CB 48	404ERROR
350	Atopobium parvulum DSM 20469	404ERROR
351	Aurantimicrobium minutum	404ERROR
352	Aureimonas sp. AU20	404ERROR
353	Aureitalea sp. RR4-38	404ERROR
354	Auricoccus indicus	404ERROR
355	Azoarcus communis	0
356	Azoarcus olearius	0
357	Azoarcus sp. BH72	404ERROR
358	Azoarcus sp. CIB	404ERROR
359	Azoarcus sp. KH32C	404ERROR
360	Azoarcus sp. SY39	404ERROR
361	Azorhizobium caulinodans ORS 571	0
362	Azospirillum brasilense	0
363	Azospirillum lipoferum 4B	404ERROR
364	Azospirillum sp. B510	404ERROR
365	Azospirillum thiophilum	404ERROR
366	Azotobacter chroococcum	0
367	Azotobacter chroococcum NCIMB 8003	0
368	Azotobacter vinelandii CA	0
369	Azotobacter vinelandii CA6	0
370	Azotobacter vinelandii DJ	0
371	Bacillus altitudinis	0
372	Bacillus amyloliquefaciens	0
373	Bacillus amyloliquefaciens CC178	0
374	Bacillus amyloliquefaciens DSM 7	0
375	Bacillus amyloliquefaciens IT-45	0
376	Bacillus amyloliquefaciens KHG19	0
377	Bacillus amyloliquefaciens LFB112	0
378	Bacillus amyloliquefaciens LL3	0
379	Bacillus amyloliquefaciens TA208	0
380	Bacillus amyloliquefaciens UMAF6614	0
381	Bacillus amyloliquefaciens UMAF6639	0
382	Bacillus amyloliquefaciens XH7	0
383	Bacillus amyloliquefaciens Y2	0
384	Bacillus anthracis	0
385	Bacillus anthracis str. A0248	0
386	Bacillus anthracis str. A16	0
387	Bacillus anthracis str. A16R	0
388	Bacillus anthracis str. Ames	0
389	Bacillus anthracis str. 'Ames Ancestor'	0
390	Bacillus anthracis str. CDC 684	0
391	Bacillus anthracis str. H9401	0
392	Bacillus anthracis str. Sterne	0
393	Bacillus anthracis str. SVA11	0
394	Bacillus anthracis str. Turkey32	0
395	Bacillus anthracis str. V770-NP-1R	0
396	Bacillus anthracis str. Vollum	0
397	Bacillus aryabhattai	404ERROR
398	Bacillus atrophaeus	0
399	Bacillus atrophaeus 1942	0
400	Bacillus beveridgei	404ERROR
401	Bacillus bombysepticus	404ERROR
402	Bacillus bombysepticus str. Wang	404ERROR
403	Bacillus cellulosilyticus DSM 2522	404ERROR
404	Bacillus cereus	['30', '30', '100', '10', '50', '10', '50', '56', '121', '50']
405	Bacillus cereus 03BB102	['30', '30', '100', '10', '50', '10', '50', '56', '121', '50']
406	Bacillus cereus 03BB108	['30', '30', '100', '10', '50', '10', '50', '56', '121', '50']
407	Bacillus cereus AH187	['30', '30', '100', '10', '50', '10', '50', '56', '121', '50']
408	Bacillus cereus AH820	['30', '30', '100', '10', '50', '10', '50', '56', '121', '50']
409	Bacillus cereus ATCC 10987	['30', '30', '100', '10', '50', '10', '50', '56', '121', '50']
410	Bacillus cereus ATCC 14579	['30', '30', '100', '10', '50', '10', '50', '56', '121', '50']
411	Bacillus cereus ATCC 4342	['30', '30', '100', '10', '50', '10', '50', '56', '121', '50']
412	Bacillus cereus B4264	['30', '30', '100', '10', '50', '10', '50', '56', '121', '50']
413	Bacillus cereus biovar anthracis str. CI	['30', '30', '100', '10', '50', '10', '50', '56', '121', '50']
414	Bacillus cereus C1L	['30', '30', '100', '10', '50', '10', '50', '56', '121', '50']
415	Bacillus cereus D17	['30', '30', '100', '10', '50', '10', '50', '56', '121', '50']
416	Bacillus cereus E33L	['30', '30', '100', '10', '50', '10', '50', '56', '121', '50']
417	Bacillus cereus F837/76	['30', '30', '100', '10', '50', '10', '50', '56', '121', '50']
418	Bacillus cereus FRI-35	['30', '30', '100', '10', '50', '10', '50', '56', '121', '50']
419	Bacillus cereus G9241	['30', '30', '100', '10', '50', '10', '50', '56', '121', '50']
420	Bacillus cereus G9842	['30', '30', '100', '10', '50', '10', '50', '56', '121', '50']
421	Bacillus cereus NC7401	['30', '30', '100', '10', '50', '10', '50', '56', '121', '50']
422	Bacillus cereus Q1	['30', '30', '100', '10', '50', '10', '50', '56', '121', '50']
423	Bacillus clausii	0
424	Bacillus clausii KSM-K16	0
425	Bacillus coagulans	['50', '55']
426	Bacillus coagulans 2-6	['50', '55']
427	Bacillus coagulans 36D1	['50', '55']
428	Bacillus coagulans DSM 1 = ATCC 7050	['50', '55']
429	Bacillus cohnii	404ERROR
430	Bacillus cytotoxicus NVH 391-98	404ERROR
431	Bacillus endophyticus	404ERROR
432	Bacillus flexus	0
433	Bacillus gibsonii	0
434	Bacillus glycinifermentans	404ERROR
435	Bacillus halodurans C-125	0
436	Bacillus horikoshii	0
437	Bacillus infantis NRRL B-14911	404ERROR
438	Bacillus kochii	404ERROR
439	Bacillus krulwichiae	404ERROR
440	Bacillus lehensis G1	404ERROR
441	Bacillus licheniformis	['50', '37', '10', '50', '55']
442	Bacillus licheniformis DSM 13 = ATCC 14580	['50', '37', '10', '50', '55']
443	Bacillus megaterium	['45', '30', '63', '30']
444	Bacillus megaterium DSM 319	['45', '30', '63', '30']
445	Bacillus megaterium NBRC 15308 = ATCC 14581	['45', '30', '63', '30']
446	Bacillus megaterium Q3	['45', '30', '63', '30']
447	Bacillus megaterium QM B1551	['45', '30', '63', '30']
448	Bacillus megaterium WSH-002	['45', '30', '63', '30']
449	Bacillus methanolicus MGA3	['60']
450	Bacillus muralis	404ERROR
451	Bacillus mycoides	0
452	Bacillus oceanisediminis 2691	404ERROR
453	Bacillus paralicheniformis	404ERROR
454	Bacillus paralicheniformis ATCC 9945a	404ERROR
455	Bacillus pseudofirmus OF4	0
456	Bacillus pumilus	0
457	Bacillus pumilus SAFR-032	0
458	Bacillus safensis	['50', '37', '55']
459	[Bacillus] selenitireducens MLS10	404ERROR
460	Bacillus siamensis	404ERROR
461	Bacillus simplex	404ERROR
462	Bacillus simplex NBRC 15720 = DSM 1321	404ERROR
463	Bacillus smithii	404ERROR
464	Bacillus sonorensis	0
465	Bacillus sp.	404ERROR
466	Bacillus sp. 1NLA3E	404ERROR
467	Bacillus sp. 1s-1	404ERROR
468	Bacillus sp. 275	404ERROR
469	Bacillus sp. ABP14	404ERROR
470	Bacillus sp. BH072	404ERROR
471	Bacillus sp. FDAARGOS_235	404ERROR
472	Bacillus sp. FJAT-14266	404ERROR
473	Bacillus sp. H15-1	404ERROR
474	Bacillus sp. HBCD-sjtu	404ERROR
475	Bacillus sp. IHB B 7164	404ERROR
476	Bacillus sp. JS	404ERROR
477	Bacillus sp. LM 4-2	404ERROR
478	Bacillus sp. Lzh-5	404ERROR
479	Bacillus sp. MD-5	404ERROR
480	Bacillus sp. OxB-1	404ERROR
481	Bacillus sp. Pc3	404ERROR
482	Bacillus sp. SDLI1	404ERROR
483	Bacillus sp. SJ-10	404ERROR
484	Bacillus sp. WP8	404ERROR
485	Bacillus sp. X1(2014)	404ERROR
486	Bacillus sp. Y-01	404ERROR
487	Bacillus sp. YP1	404ERROR
488	Bacillus sp. ZY-1-1	404ERROR
489	Bacillus subtilis	0
490	Bacillus subtilis BEST7003	0
491	Bacillus subtilis BSn5	0
492	Bacillus subtilis HJ5	0
493	Bacillus subtilis KCTC 1028	0
494	Bacillus subtilis PY79	0
495	Bacillus subtilis QB928	0
496	Bacillus subtilis subsp. globigii	0
497	Bacillus subtilis subsp. inaquosorum	0
498	Bacillus subtilis subsp. natto	0
499	Bacillus subtilis subsp. natto BEST195	0
500	Bacillus subtilis subsp. spizizenii str. W23	0
501	Bacillus subtilis subsp. spizizenii TU-B-10	0
502	Bacillus subtilis subsp. subtilis	0
503	Bacillus subtilis subsp. subtilis 6051-HGW	0
504	Bacillus subtilis subsp. subtilis str. 168	0
505	Bacillus subtilis subsp. subtilis str. AG1839	0
506	Bacillus subtilis subsp. subtilis str. BAB-1	0
507	Bacillus subtilis subsp. subtilis str. BSP1	0
508	Bacillus subtilis subsp. subtilis str. JH642 substr. AG174	0
509	Bacillus subtilis subsp. subtilis str. OH 131.1	0
510	Bacillus subtilis subsp. subtilis str. RO-NN-1	0
511	Bacillus subtilis TO-A	0
512	Bacillus subtilis XF-1	0
513	Bacillus thermoamylovorans	404ERROR
514	Bacillus thuringiensis	0
515	Bacillus thuringiensis BMB171	0
516	Bacillus thuringiensis Bt18247	0
517	Bacillus thuringiensis Bt407	0
518	Bacillus thuringiensis HD1002	0
519	Bacillus thuringiensis HD-771	0
520	Bacillus thuringiensis HD-789	0
521	Bacillus thuringiensis MC28	0
522	Bacillus thuringiensis serovar alesti	0
523	Bacillus thuringiensis serovar chinensis CT-43	0
524	Bacillus thuringiensis serovar finitimus YBT-020	0
525	Bacillus thuringiensis serovar galleriae	0
526	Bacillus thuringiensis serovar indiana	0
527	[Bacillus thuringiensis] serovar konkukian str. 97-27	404ERROR
528	Bacillus thuringiensis serovar kurstaki str. HD-1	0
529	Bacillus thuringiensis serovar kurstaki str. HD73	0
530	Bacillus thuringiensis serovar kurstaki str. YBT-1520	0
531	Bacillus thuringiensis serovar morrisoni	0
532	Bacillus thuringiensis serovar thuringiensis str. IS5056	0
533	Bacillus thuringiensis serovar tolworthi	0
534	Bacillus thuringiensis str. Al Hakam	0
535	Bacillus thuringiensis YBT-1518	0
536	Bacillus toyonensis BCT-7112	404ERROR
537	Bacillus vallismortis	0
538	Bacillus velezensis	404ERROR
539	Bacillus velezensis AS43.3	404ERROR
540	Bacillus velezensis CAU B946	404ERROR
541	Bacillus velezensis FZB42	404ERROR
542	Bacillus velezensis NAU-B3	404ERROR
543	Bacillus velezensis NJN-6	404ERROR
544	Bacillus velezensis SQR9	404ERROR
545	Bacillus velezensis TrigoCor1448	404ERROR
546	Bacillus velezensis UCMB5033	404ERROR
547	Bacillus velezensis UCMB5036	404ERROR
548	Bacillus velezensis UCMB5113	404ERROR
549	Bacillus velezensis YAU B9601-Y2	404ERROR
550	Bacillus weihaiensis	404ERROR
551	Bacillus weihenstephanensis	0
552	Bacillus weihenstephanensis KBAB4	0
553	Bacillus xiamenensis	404ERROR
554	Bacterioplanes sanyensis	0
555	Bacteriovorax stolpii	['35']
556	Bacteroidales bacterium CF	404ERROR
557	Bacteroides caccae	404ERROR
558	Bacteroides caecimuris	404ERROR
559	Bacteroides cellulosilyticus	404ERROR
560	Bacteroides dorei CL03T12C01	['37', '37']
561	Bacteroides fragilis	0
562	Bacteroides fragilis 638R	0
563	Bacteroides fragilis NCTC 9343	0
564	Bacteroides fragilis YCH46	0
565	Bacteroides helcogenes P 36-108	404ERROR
566	Bacteroides heparinolyticus	404ERROR
567	Bacteroides ovatus	404ERROR
568	Bacteroides ovatus V975	404ERROR
569	Bacteroides salanitronis DSM 18170	404ERROR
570	Bacteroides thetaiotaomicron	0
571	Bacteroides thetaiotaomicron VPI-5482	0
572	Bacteroides vulgatus ATCC 8482	0
573	Bacteroides zoogleoformans	404ERROR
574	Barnesiella viscericola DSM 18177	0
575	Bartonella ancashensis	0
576	Bartonella apis	0
577	Bartonella australis Aust/NH1	0
578	Bartonella bacilliformis	['29', '25']
579	Bartonella bacilliformis KC583	['29', '25']
580	Bartonella clarridgeiae 73	0
581	Bartonella grahamii as4aup	0
582	Bartonella henselae	0
583	Bartonella henselae str. Houston-1	0
584	Bartonella quintana str. Toulouse	0
585	Bartonella sp. 1-1C	404ERROR
586	Bartonella sp. A1379B	404ERROR
587	Bartonella sp. JB15	404ERROR
588	Bartonella sp. JB63	404ERROR
589	Bartonella sp. Raccoon60	404ERROR
590	Bartonella sp. WD16.2	404ERROR
591	Bartonella tribocorum	0
592	Bartonella tribocorum CIP 105476	0
593	Bartonella vinsonii subsp. berkhoffii str. Winnie	0
594	Basilea psittacipulmonis DSM 24701	0
595	Baumannia cicadellinicola str. Hc (Homalodisca coagulata)	404ERROR
596	Bdellovibrio bacteriovorus	['29']
597	Bdellovibrio bacteriovorus HD100	['29']
598	Bdellovibrio bacteriovorus str. Tiberius	['29']
599	Bdellovibrio bacteriovorus W	['29']
600	Bdellovibrio exovorus JSS	404ERROR
601	Beggiatoa leptomitoformis	0
602	Beijerinckia indica subsp. indica ATCC 9039	0
603	Belliella baltica DSM 15883	0
604	Bernardetia litoralis DSM 6794	404ERROR
