"	organism	tem",,,,,,,,,
"904	Burkholderia pseudomallei 7894	['40'", '74'],,,,,,,,
"905	Burkholderia pseudomallei A79A	['40'", '74'],,,,,,,,
"906	Burkholderia pseudomallei B03	['40'", '74'],,,,,,,,
"907	Burkholderia pseudomallei BPC006	['40'", '74'],,,,,,,,
"908	Burkholderia pseudomallei HBPUB10134a	['40'", '74'],,,,,,,,
"909	Burkholderia pseudomallei HBPUB10303a	['40'", '74'],,,,,,,,
"910	Burkholderia pseudomallei K42	['40'", '74'],,,,,,,,
"911	Burkholderia pseudomallei K96243	['40'", '74'],,,,,,,,
"912	Burkholderia pseudomallei MSHR146	['40'", '74'],,,,,,,,
"913	Burkholderia pseudomallei MSHR2543	['40'", '74'],,,,,,,,
"914	Burkholderia pseudomallei MSHR305	['40'", '74'],,,,,,,,
"915	Burkholderia pseudomallei MSHR491	['40'", '74'],,,,,,,,
"916	Burkholderia pseudomallei MSHR511	['40'", '74'],,,,,,,,
"917	Burkholderia pseudomallei MSHR520	['40'", '74'],,,,,,,,
"918	Burkholderia pseudomallei MSHR5848	['40'", '74'],,,,,,,,
"919	Burkholderia pseudomallei MSHR5855	['40'", '74'],,,,,,,,
"920	Burkholderia pseudomallei MSHR5858	['40'", '74'],,,,,,,,
"921	Burkholderia pseudomallei MSHR62	['40'", '74'],,,,,,,,
"922	Burkholderia pseudomallei MSHR840	['40'", '74'],,,,,,,,
"923	Burkholderia pseudomallei NAU20B-16	['40'", '74'],,,,,,,,
"924	Burkholderia pseudomallei NAU35A-3	['40'", '74'],,,,,,,,
"925	Burkholderia pseudomallei NCTC 13178	['40'", '74'],,,,,,,,
"926	Burkholderia pseudomallei Pasteur 52237	['40'", '74'],,,,,,,,
"927	Burkholderia pseudomallei PB08298010	['40'", '74'],,,,,,,,
"928	Burkholderia pseudomallei TSV 48	['40'", '74'],,,,,,,,
"998	Campylobacter coli	['42']",,,,,,,,,
"999	Campylobacter coli 15-537360	['42']",,,,,,,,,
"1000	Campylobacter coli CVM N29710	['42']",,,,,,,,,
"1001	Campylobacter coli RM1875	['42']",,,,,,,,,
"1002	Campylobacter coli RM5611	['42']",,,,,,,,,
"1019	Campylobacter hyointestinalis subsp. hyointestinalis LMG 9260	['25']",,,,,,,,,
"1020	Campylobacter hyointestinalis subsp. lawsonii	['25']",,,,,,,,,
"1023	Campylobacter jejuni	['42'", '74', '25', '37', '42', '42', '37', '42'],,
"1024	Campylobacter jejuni 32488	['42'", '74', '25', '37', '42', '42', '37', '42'],,
"1025	Campylobacter jejuni 4031	['42'", '74', '25', '37', '42', '42', '37', '42'],,
"1026	Campylobacter jejuni RM1221	['42'", '74', '25', '37', '42', '42', '37', '42'],,
"1027	Campylobacter jejuni subsp. jejuni	['42'", '74', '25', '37', '42', '42', '37', '42'],,
"1028	Campylobacter jejuni subsp. jejuni 00-2425	['42'", '74', '25', '37', '42', '42', '37', '42'],,
"1029	Campylobacter jejuni subsp. jejuni 00-2426	['42'", '74', '25', '37', '42', '42', '37', '42'],,
"1030	Campylobacter jejuni subsp. jejuni 00-2538	['42'", '74', '25', '37', '42', '42', '37', '42'],,
"1031	Campylobacter jejuni subsp. jejuni 00-2544	['42'", '74', '25', '37', '42', '42', '37', '42'],,
"1032	Campylobacter jejuni subsp. jejuni 81116	['42'", '74', '25', '37', '42', '42', '37', '42'],,
"1033	Campylobacter jejuni subsp. jejuni 81-176	['42'", '74', '25', '37', '42', '42', '37', '42'],,
"1034	Campylobacter jejuni subsp. jejuni CG8421	['42'", '74', '25', '37', '42', '42', '37', '42'],,
"1035	Campylobacter jejuni subsp. jejuni F38011	['42'", '74', '25', '37', '42', '42', '37', '42'],,
"1036	Campylobacter jejuni subsp. jejuni IA3902	['42'", '74', '25', '37', '42', '42', '37', '42'],,
"1037	Campylobacter jejuni subsp. jejuni M1	['42'", '74', '25', '37', '42', '42', '37', '42'],,
"1038	Campylobacter jejuni subsp. jejuni M129	['42'", '74', '25', '37', '42', '42', '37', '42'],,
"1039	Campylobacter jejuni subsp. jejuni NCTC 11168 = ATCC 700819	['42'", '74', '25', '37', '42', '42', '37', '42'],,
"1040	Campylobacter jejuni subsp. jejuni NCTC 11168-BN148	['42'", '74', '25', '37', '42', '42', '37', '42'],,
"1041	Campylobacter jejuni subsp. jejuni NCTC 11168-GSv	['42'", '74', '25', '37', '42', '42', '37', '42'],,
"1042	Campylobacter jejuni subsp. jejuni NCTC 11168-K12E5	['42'", '74', '25', '37', '42', '42', '37', '42'],,
"1043	Campylobacter jejuni subsp. jejuni NCTC 11168-Kf1	['42'", '74', '25', '37', '42', '42', '37', '42'],,
"1044	Campylobacter jejuni subsp. jejuni NCTC 11168-mcK12E5	['42'", '74', '25', '37', '42', '42', '37', '42'],,
"1045	Campylobacter jejuni subsp. jejuni NCTC 11168-mfK12E5	['42'", '74', '25', '37', '42', '42', '37', '42'],,
"1046	Campylobacter jejuni subsp. jejuni PT14	['42'", '74', '25', '37', '42', '42', '37', '42'],,
"1047	Campylobacter jejuni subsp. jejuni S3	['42'", '74', '25', '37', '42', '42', '37', '42'],,
"1048	Campylobacter jejuni subsp. jejuni str. RM3420	['42'", '74', '25', '37', '42', '42', '37', '42'],,
"1196	Capnocytophaga sp. ChDC OS43	['37']",,,,,,,,,
"1197	Capnocytophaga sp. H2931	['37']",,,,,,,,,
"1198	Capnocytophaga sp. H4358	['37']",,,,,,,,,
"1199	Capnocytophaga sp. oral taxon 323	['37']",,,,,,,,,
"1200	Capnocytophaga sp. oral taxon 864	['37']",,,,,,,,,
"1201	Capnocytophaga sp. oral taxon 878	['37']",,,,,,,,,
"1346	Chloroflexus aurantiacus J-10-fl	['35'", '70'],,,,,,,,
"1386	Clavibacter michiganensis subsp. capsici	['21']",,,,,,,,,
"1387	Clavibacter michiganensis subsp. insidiosus	['21']",,,,,,,,,
"1388	Clavibacter michiganensis subsp. michiganensis NCPPB 382	['21']",,,,,,,,,
"1389	Clavibacter michiganensis subsp. nebraskensis NCPPB 2581	['21']",,,,,,,,,
"1403	Clostridium beijerinckii	['37']",,,,,,,,,
"1404	Clostridium beijerinckii ATCC 35702	['37']",,,,,,,,,
"1405	Clostridium beijerinckii NCIMB 8052	['37']",,,,,,,,,
"1406	Clostridium beijerinckii NRRL B-598	['37']",,,,,,,,,
"1409	Clostridium botulinum	['100'", '100'],,,,,,,,
"1410	Clostridium botulinum 202F	['100'", '100'],,,,,,,,
"1411	Clostridium botulinum A2 str. Kyoto	['100'", '100'],,,,,,,,
"1412	Clostridium botulinum A3 str. Loch Maree	['100'", '100'],,,,,,,,
"1413	Clostridium botulinum A str. ATCC 19397	['100'", '100'],,,,,,,,
"1414	Clostridium botulinum A str. ATCC 3502	['100'", '100'],,,,,,,,
"1415	Clostridium botulinum A str. Hall	['100'", '100'],,,,,,,,
"1416	Clostridium botulinum B1 str. Okra	['100'", '100'],,,,,,,,
"1417	Clostridium botulinum Ba4 str. 657	['100'", '100'],,,,,,,,
"1418	Clostridium botulinum BKT015925	['100'", '100'],,,,,,,,
"1419	Clostridium botulinum B str. Eklund 17B (NRP)	['100'", '100'],,,,,,,,
"1420	Clostridium botulinum CDC_1436	['100'", '100'],,,,,,,,
"1421	Clostridium botulinum E3 str. Alaska E43	['100'", '100'],,,,,,,,
"1422	Clostridium botulinum F str. 230613	['100'", '100'],,,,,,,,
"1423	Clostridium botulinum F str. Langeland	['100'", '100'],,,,,,,,
"1424	Clostridium botulinum H04402 065	['100'", '100'],,,,,,,,
"1446	Clostridium perfringens	['74'", '74'],,,,,,,,
"1447	Clostridium perfringens ATCC 13124	['74'", '74'],,,,,,,,
"1448	Clostridium perfringens str. 13	['74'", '74'],,,,,,,,
"1488	Coprothermobacter proteolyticus DSM 5265	['75'", '63'],,,,,,,,
"1677	Dehalogenimonas lykanthroporepellens BL-DC-9	['34'", '34', '30'],,,,,,,
"1680	Deinococcus geothermalis DSM 11300	['45'", '50'],,,,,,,,
"1757	Dickeya dadantii	['34']",,,,,,,,,
"1758	Dickeya dadantii 3937	['34']",,,,,,,,,
"1776	Dinoroseobacter shibae DFL 12 = DSM 16493	['38'", '33'],,,,,,,,
"1778	Dokdonia donghaensis DSW-1	['35'", '30'],,,,,,,,
"1826	Elizabethkingia meningoseptica	['40']",,,,,,,,,
"1841	Enterobacter cloacae	['30'", '35'],,,,,,,,
"1842	Enterobacter cloacae complex bacterium	['30'", '35'],,,,,,,,
"1843	Enterobacter cloacae complex 'Hoffmann cluster III'	['30'", '35'],,,,,,,,
"1844	Enterobacter cloacae complex 'Hoffmann cluster IV'	['30'", '35'],,,,,,,,
"1845	Enterobacter cloacae complex sp. 35734	['30'", '35'],,,,,,,,
"1846	Enterobacter cloacae complex sp. ECNIH7	['30'", '35'],,,,,,,,
"1847	Enterobacter cloacae complex sp. FDA-CDC-AR_0132	['30'", '35'],,,,,,,,
"1848	Enterobacter cloacae complex sp. FDA-CDC-AR_0164	['30'", '35'],,,,,,,,
"1849	Enterobacter cloacae ECNIH2	['30'", '35'],,,,,,,,
"1850	Enterobacter cloacae ECNIH3	['30'", '35'],,,,,,,,
"1851	Enterobacter cloacae ECR091	['30'", '35'],,,,,,,,
"1852	Enterobacter cloacae EcWSU1	['30'", '35'],,,,,,,,
"1853	Enterobacter cloacae P101	['30'", '35'],,,,,,,,
"1854	Enterobacter cloacae subsp. cloacae ATCC 13047	['30'", '35'],,,,,,,,
"1855	Enterobacter cloacae subsp. cloacae ENHKU01	['30'", '35'],,,,,,,,
"1856	Enterobacter cloacae subsp. dissolvens SDM	['30'", '35'],,,,,,,,
"1882	Enterococcus faecalis	['45'", '60'],,,,,,,,
"1883	Enterococcus faecalis ARO1/DG	['45'", '60'],,,,,,,,
"1884	Enterococcus faecalis ATCC 29212	['45'", '60'],,,,,,,,
"1885	Enterococcus faecalis D32	['45'", '60'],,,,,,,,
"1886	Enterococcus faecalis DENG1	['45'", '60'],,,,,,,,
"1887	Enterococcus faecalis OG1RF	['45'", '60'],,,,,,,,
"1888	Enterococcus faecalis str. Symbioflor 1	['45'", '60'],,,,,,,,
"1889	Enterococcus faecalis V583	['45'", '60'],,,,,,,,
"1932	Escherichia coli	['37'", '49'],,,,,,,,
"1933	Escherichia coli 042	['37'", '49'],,,,,,,,
"1934	Escherichia coli 1303	['37'", '49'],,,,,,,,
"1935	Escherichia coli 536	['37'", '49'],,,,,,,,
"1936	Escherichia coli 55989	['37'", '49'],,,,,,,,
"1937	Escherichia coli ABU 83972	['37'", '49'],,,,,,,,
"1938	Escherichia coli ACN001	['37'", '49'],,,,,,,,
"1939	Escherichia coli APEC IMT5155	['37'", '49'],,,,,,,,
"1940	Escherichia coli APEC O1	['37'", '49'],,,,,,,,
"1941	Escherichia coli APEC O18	['37'", '49'],,,,,,,,
"1942	Escherichia coli APEC O2-211	['37'", '49'],,,,,,,,
"1943	Escherichia coli APEC O78	['37'", '49'],,,,,,,,
"1944	Escherichia coli ATCC 25922	['37'", '49'],,,,,,,,
"1945	Escherichia coli ATCC 8739	['37'", '49'],,,,,,,,
"1946	Escherichia coli B	['37'", '49'],,,,,,,,
"1947	Escherichia coli BL21(DE3)	['37'", '49'],,,,,,,,
"1948	Escherichia coli 'BL21-Gold(DE3)pLysS AG'	['37'", '49'],,,,,,,,
"1949	Escherichia coli B str. REL606	['37'", '49'],,,,,,,,
"1950	Escherichia coli BW25113	['37'", '49'],,,,,,,,
"1951	Escherichia coli BW2952	['37'", '49'],,,,,,,,
"1952	Escherichia coli C	['37'", '49'],,,,,,,,
"1953	Escherichia coli CFT073	['37'", '49'],,,,,,,,
"1954	Escherichia coli DH1	['37'", '49'],,,,,,,,
"1955	Escherichia coli ECC-1470	['37'", '49'],,,,,,,,
"1956	Escherichia coli ER2796	['37'", '49'],,,,,,,,
"1957	Escherichia coli ETEC H10407	['37'", '49'],,,,,,,,
"1958	Escherichia coli HS	['37'", '49'],,,,,,,,
"1959	Escherichia coli IAI1	['37'", '49'],,,,,,,,
"1960	Escherichia coli IAI39	['37'", '49'],,,,,,,,
"1961	Escherichia coli IHE3034	['37'", '49'],,,,,,,,
"1962	Escherichia coli JJ1886	['37'", '49'],,,,,,,,
"1963	Escherichia coli JJ1887	['37'", '49'],,,,,,,,
"1964	Escherichia coli K-12	['37'", '49'],,,,,,,,
"1965	Escherichia coli KLY	['37'", '49'],,,,,,,,
"1966	Escherichia coli KO11FL	['37'", '49'],,,,,,,,
"1967	Escherichia coli LF82	['37'", '49'],,,,,,,,
"1968	Escherichia coli LY180	['37'", '49'],,,,,,,,
"1969	Escherichia coli Nissle 1917	['37'", '49'],,,,,,,,
"1970	Escherichia coli NU14	['37'", '49'],,,,,,,,
"1971	Escherichia coli O103:H2 str. 12009	['37'", '49'],,,,,,,,
"1972	Escherichia coli O103 str. RM10042	['37'", '49'],,,,,,,,
"1973	Escherichia coli O103 str. RM8385	['37'", '49'],,,,,,,,
"1974	Escherichia coli O104:H21 str. CFSAN002236	['37'", '49'],,,,,,,,
"1975	Escherichia coli O104:H4	['37'", '49'],,,,,,,,
"1976	Escherichia coli O104:H4 str. 2009EL-2050	['37'", '49'],,,,,,,,
"1977	Escherichia coli O104:H4 str. 2009EL-2071	['37'", '49'],,,,,,,,
"1978	Escherichia coli O104:H4 str. 2011C-3493	['37'", '49'],,,,,,,,
"1979	Escherichia coli O104:H4 str. C227-11	['37'", '49'],,,,,,,,
"1980	Escherichia coli O111:H- str. 11128	['37'", '49'],,,,,,,,
"1981	Escherichia coli O111 str. RM9322	['37'", '49'],,,,,,,,
"1982	Escherichia coli O114:H49	['37'", '49'],,,,,,,,
"1983	Escherichia coli O121:H19	['37'", '49'],,,,,,,,
"1984	Escherichia coli O121 str. RM8352	['37'", '49'],,,,,,,,
"1985	Escherichia coli O127:H6	['37'", '49'],,,,,,,,
"1986	Escherichia coli O127:H6 str. E2348/69	['37'", '49'],,,,,,,,
"1987	Escherichia coli O128:H27	['37'", '49'],,,,,,,,
"1988	Escherichia coli O139:H28 str. E24377A	['37'", '49'],,,,,,,,
"1989	Escherichia coli O145:H28 str. RM12581	['37'", '49'],,,,,,,,
"1990	Escherichia coli O145:H28 str. RM12761	['37'", '49'],,,,,,,,
"1991	Escherichia coli O145:H28 str. RM13514	['37'", '49'],,,,,,,,
"1992	Escherichia coli O145:H28 str. RM13516	['37'", '49'],,,,,,,,
"1993	Escherichia coli O157	['37'", '49'],,,,,,,,
"1994	Escherichia coli O157:H16	['37'", '49'],,,,,,,,
"1995	Escherichia coli O157:H7	['37'", '49'],,,,,,,,
"1996	Escherichia coli O157:H7 str. EC4115	['37'", '49'],,,,,,,,
"1997	Escherichia coli O157:H7 str. EDL933	['37'", '49'],,,,,,,,
"1998	Escherichia coli O157:H7 str. Sakai	['37'", '49'],,,,,,,,
"1999	Escherichia coli O157:H7 str. SS17	['37'", '49'],,,,,,,,
"2000	Escherichia coli O157:H7 str. SS52	['37'", '49'],,,,,,,,
"2001	Escherichia coli O157:H7 str. TW14359	['37'", '49'],,,,,,,,
"2002	Escherichia coli O15:H11	['37'", '49'],,,,,,,,
"2003	Escherichia coli O169:H41	['37'", '49'],,,,,,,,
"2004	Escherichia coli O178:H19	['37'", '49'],,,,,,,,
"2005	Escherichia coli O25b:H4	['37'", '49'],,,,,,,,
"2006	Escherichia coli O25b:H4-ST131	['37'", '49'],,,,,,,,
"2007	Escherichia coli O25:H16	['37'", '49'],,,,,,,,
"2008	Escherichia coli O25:NM	['37'", '49'],,,,,,,,
"2009	Escherichia coli O26:H11 str. 11368	['37'", '49'],,,,,,,,
"2010	Escherichia coli O26 str. RM10386	['37'", '49'],,,,,,,,
"2011	Escherichia coli O26 str. RM8426	['37'", '49'],,,,,,,,
"2012	Escherichia coli O27:H7	['37'", '49'],,,,,,,,
"2013	Escherichia coli O55:H7 str. CB9615	['37'", '49'],,,,,,,,
"2014	Escherichia coli O55:H7 str. RM12579	['37'", '49'],,,,,,,,
"2015	Escherichia coli O6:H16	['37'", '49'],,,,,,,,
"2016	Escherichia coli O7:K1 str. CE10	['37'", '49'],,,,,,,,
"2017	Escherichia coli O83:H1 str. NRG 857C	['37'", '49'],,,,,,,,
"2018	Escherichia coli O91 str. RM7190	['37'", '49'],,,,,,,,
"2019	Escherichia coli PCN033	['37'", '49'],,,,,,,,
"2020	Escherichia coli PCN061	['37'", '49'],,,,,,,,
"2021	Escherichia coli S88	['37'", '49'],,,,,,,,
"2022	Escherichia coli SE11	['37'", '49'],,,,,,,,
"2023	Escherichia coli SE15	['37'", '49'],,,,,,,,
"2024	Escherichia coli SMS-3-5	['37'", '49'],,,,,,,,
"2025	Escherichia coli str. 'clone D i14'	['37'", '49'],,,,,,,,
"2026	Escherichia coli str. 'clone D i2'	['37'", '49'],,,,,,,,
"2027	Escherichia coli str. K-12 substr. DH10B	['37'", '49'],,,,,,,,
"2028	Escherichia coli str. K-12 substr. MC4100	['37'", '49'],,,,,,,,
"2029	Escherichia coli str. K-12 substr. MDS42	['37'", '49'],,,,,,,,
"2030	Escherichia coli str. K-12 substr. MG1655	['37'", '49'],,,,,,,,
"2031	Escherichia coli str. K-12 substr. W3110	['37'", '49'],,,,,,,,
"2032	Escherichia coli str. Sanji	['37'", '49'],,,,,,,,
"2033	Escherichia coli UM146	['37'", '49'],,,,,,,,
"2034	Escherichia coli UMNK88	['37'", '49'],,,,,,,,
"2035	Escherichia coli UTI89	['37'", '49'],,,,,,,,
"2036	Escherichia coli VR50	['37'", '49'],,,,,,,,
"2037	Escherichia coli W	['37'", '49'],,,,,,,,
"2038	Escherichia coli Xuzhou21	['37'", '49'],,,,,,,,
"2060	Ferroglobus placidus DSM 10642	['85'", '65', '95'],,,,,,,
"2062	Ferroplasma acidiphilum	['35']",,,,,,,,,
"2204	Geobacillus stearothermophilus	['65'", '70', '96'],,,,,,,
"2205	Geobacillus stearothermophilus 10	['65'", '70', '96'],,,,,,,
"2224	Geoglobus acetivorans	['88'", '65', '90'],,,,,,,
"2225	Geoglobus ahangari	['88'", '65', '90'],,,,,,,
"2232	Gloeobacter violaceus PCC 7421	['30']",,,,,,,,,
"2285	Hafnia alvei	['44'", '35'],,,,,,,,
"2286	Hafnia alvei FB1	['44'", '35'],,,,,,,,
"2299	Haloarcula hispanica ATCC 33960	['45']",,,,,,,,,
"2300	Haloarcula hispanica N601	['45']",,,,,,,,,
"2301	Haloarcula marismortui ATCC 43049	['45']",,,,,,,,,
"2319	Haloferax volcanii DS2	['42'", '37'],,,,,,,,
"2343	Halorhabdus tiamatea SARL4B	['55'", '50'],,,,,,,,
"2344	Halorhabdus utahensis DSM 12940	['55'", '50'],,,,,,,,
"2352	Haloterrigena turkmenica DSM 5511	['40'", '51', '57'],,,,,,,
"2453	Hydrogenobacter thermophilus TK-6	['75'", '75'],,,,,,,,
"2478	Idiomarina loihiensis GSL 199	['46']",,,,,,,,,
"2479	Idiomarina loihiensis L2TR	['46']",,,,,,,,,
"2484	Ignicoccus hospitalis KIN4/I	['98'", '90'],,,,,,,,
"2485	Ignicoccus islandicus DSM 13165	['98'", '90'],,,,,,,,
"2609	Lactobacillus acidophilus	['37']",,,,,,,,,
"2610	Lactobacillus acidophilus La-14	['37']",,,,,,,,,
"2611	Lactobacillus acidophilus NCFM	['37']",,,,,,,,,
"2624	Lactobacillus buchneri CD034	['37']",,,,,,,,,
"2625	Lactobacillus buchneri NRRL B-30929	['37']",,,,,,,,,
"2680	Lactobacillus mucosae LM1	['37']",,,,,,,,,
"2682	Lactobacillus paracasei	['37'", '40', '72'],,,,,,,
"2683	Lactobacillus paracasei ATCC 334	['37'", '40', '72'],,,,,,,
"2684	Lactobacillus paracasei N1115	['37'", '40', '72'],,,,,,,
"2685	Lactobacillus paracasei subsp. paracasei	['37'", '40', '72'],,,,,,,
"2686	Lactobacillus paracasei subsp. paracasei 8700:2	['37'", '40', '72'],,,,,,,
"2687	Lactobacillus paracasei subsp. paracasei JCM 8130	['37'", '40', '72'],,,,,,,
"2691	Lactobacillus plantarum	['15'", '45'],,,,,,,,
"2692	Lactobacillus plantarum 16	['15'", '45'],,,,,,,,
"2693	Lactobacillus plantarum DOMLa	['15'", '45'],,,,,,,,
"2694	Lactobacillus plantarum JDM1	['15'", '45'],,,,,,,,
"2695	Lactobacillus plantarum subsp. plantarum	['15'", '45'],,,,,,,,
"2696	Lactobacillus plantarum subsp. plantarum P-8	['15'", '45'],,,,,,,,
"2697	Lactobacillus plantarum subsp. plantarum ST-III	['15'", '45'],,,,,,,,
"2698	Lactobacillus plantarum WCFS1	['15'", '45'],,,,,,,,
"2699	Lactobacillus plantarum ZJ316	['15'", '45'],,,,,,,,
"2721	Lactobacillus sanfranciscensis TMW 1.1304	['33'", '41', '27', '36'],,,,,,
"2727	Lactococcus garvieae	['45'", '37', '30', '18', '18', '15', '16'],,,
"2728	Lactococcus garvieae ATCC 49156	['45'", '37', '30', '18', '18', '15', '16'],,,
"2729	Lactococcus garvieae Lg2	['45'", '37', '30', '18', '18', '15', '16'],,,
"2758	Legionella clemsonensis	['45'", '26', '45', '63', '37', '26'],,,,
"2811	Leptospirillum ferriphilum ML-04	['40']",,,,,,,,,
"2812	Leptospirillum ferriphilum YSK	['40']",,,,,,,,,
"2847	Listeria monocytogenes	['30'", '37', '25', '37'],,,,,,
"2848	Listeria monocytogenes 07PF0776	['30'", '37', '25', '37'],,,,,,
"2849	Listeria monocytogenes 08-5578	['30'", '37', '25', '37'],,,,,,
"2850	Listeria monocytogenes 08-5923	['30'", '37', '25', '37'],,,,,,
"2851	Listeria monocytogenes 10403S	['30'", '37', '25', '37'],,,,,,
"2852	Listeria monocytogenes 6179	['30'", '37', '25', '37'],,,,,,
"2853	Listeria monocytogenes ATCC 19117	['30'", '37', '25', '37'],,,,,,
